                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7584,                 11.303,                 2.9199,                0.00315,                0.74947,                0.18191,                0.08788,                 3.0893,                  14.92,                 3.4042,                0.00062,                0.00062,                0.00062
                      2,                 3.0697,                 8.9837,                 3.0424,                0.70994,                 0.0335,                0.18191,                0.08308,                 3.3225,                 12.423,                 4.2043,              0.0011353,              0.0011353,              0.0011353
